block,buildingaddress,councildistrict,location,lot,neighborhood,noticedate,policedistrict,referenceid
0248,112 S CAREY ST,9,"(39.28610826, -76.6381825)",052,Union Square,2018-10-31T04:00:00Z,Southern,0248 052 103118
0249,1204 W PRATT ST,9,"(39.28580247, -76.63675959)",002,Hollins Market,2019-01-06T05:00:00Z,Southern,0249 002 010619
0249,103 S CAREY ST,9,"(39.28625065, -76.63774278)",031,Hollins Market,2019-01-06T05:00:00Z,Southern,0249 031 010619
0258,2008 MCHENRY ST,9,"(39.28434244, -76.64907508)",038,Carrollton Ridge,2019-01-25T05:00:00Z,Southern,0258 038 012519
0258,212 S PAYSON ST,9,"(39.2844742, -76.64869736)",048,Carrollton Ridge,2018-09-15T04:00:00Z,Southern,0258 048 091518
0258,212 HARMISON ST,9,"(39.28447379, -76.64933646)",061,Carrollton Ridge,2018-12-11T05:00:00Z,Southern,0258 061 121118
0260,1814 MCHENRY ST,9,"(39.28445989, -76.64564704)",058,Carrollton Ridge,2018-10-31T04:00:00Z,Southern,0260 058 103118
0260,1822 DOVER ST,9,"(39.28483149, -76.64598581)",106,Carrollton Ridge,2019-01-08T05:00:00Z,Southern,0260 106 010819
0262,1607 W PRATT ST,9,"(39.28518009, -76.64274812)",004,New Southwest/Mount Clare,2018-10-12T04:00:00Z,Southern,0262 004 101218
0262,225 S VINCENT ST,9,"(39.28480239, -76.6426979)",080,New Southwest/Mount Clare,2019-01-14T05:00:00Z,Southern,0262 080 011419
0263,205 S GILMOR ST,9,"(39.28519034, -76.64192651)",015,New Southwest/Mount Clare,2019-01-17T05:00:00Z,Southern,0263 015 011719
0264,209 S STRICKER ST,9,"(39.28519224, -76.64053743)",012,New Southwest/Mount Clare,2019-01-08T05:00:00Z,Southern,0264 012 010819
0264,1405 KUPER ST,9,"(39.284898, -76.63979783)",079,New Southwest/Mount Clare,2019-01-16T05:00:00Z,Southern,0264 079 011619
0265,211 S CALHOUN ST,9,"(39.28523852, -76.63914248)",025,New Southwest/Mount Clare,2018-12-18T05:00:00Z,Southern,0265 025 121818
0265,215 S CALHOUN ST,9,"(39.28517294, -76.63913562)",027,New Southwest/Mount Clare,2018-11-21T05:00:00Z,Southern,0265 027 112118
0265,226 S CAREY ST,9,"(39.28483178, -76.6381785)",063,New Southwest/Mount Clare,2018-12-02T05:00:00Z,Southern,0265 063 120218
0266A,1250 JAMES ST,10,"(39.28189652, -76.63602917)",012,Washington Village/Pigtown,2019-01-06T05:00:00Z,Southern,0266A012 010619
0266A,1219 GLYNDON AVE,10,"(39.28229895, -76.63589305)",051,Washington Village/Pigtown,2019-01-14T05:00:00Z,Southern,0266A051 011419
0266A,1003 S CAREY ST,10,"(39.28181782, -76.63655856)",066,Washington Village/Pigtown,2019-01-06T05:00:00Z,Southern,0266A066 010619
0266A,1005 S CAREY ST,10,"(39.2817903, -76.63652371)",067,Washington Village/Pigtown,2019-01-07T05:00:00Z,Southern,0266A067 010719
0266B,1240 GLYNDON AVE,10,"(39.28237771, -76.636298)",021,Washington Village/Pigtown,2019-01-18T05:00:00Z,Southern,0266B021 011819
0270,408 S BENTALOU ST,9,"(39.28282052, -76.65282349)",029,Millhill,2018-10-31T04:00:00Z,Southwestern,0270 029 103118
0270,424 S BENTALOU ST,9,"(39.28250627, -76.65280566)",037,Millhill,2019-01-08T05:00:00Z,Southwestern,0270 037 010819
0270,468 S BENTALOU ST,9,"(39.28180208, -76.65276256)",054,Millhill,2019-01-12T05:00:00Z,Southwestern,0270 054 011219
0271,321 FURROW ST,9,"(39.28361024, -76.65173096)",040,Carrollton Ridge,2019-01-08T05:00:00Z,Southwestern,0271 040 010819
0271,323 FURROW ST,9,"(39.28357707, -76.65172902)",041,Carrollton Ridge,2018-11-21T05:00:00Z,Southwestern,0271 041 112118
0271,2225 MCHENRY ST,9,"(39.28385686, -76.65210959)",106,Carrollton Ridge,2019-01-11T05:00:00Z,Southwestern,0271 106 011119
0272,333 S SMALLWOOD ST,9,"(39.28330587, -76.65093729)",036,Carrollton Ridge,2018-10-05T04:00:00Z,Southwestern,0272 036 100518
0272,2116 RAMSAY ST,9,"(39.28314925, -76.65054957)",048,Carrollton Ridge,2018-10-31T04:00:00Z,Southwestern,0272 048 103118
0273,316 S PAYSON ST,9,"(39.28379195, -76.6486673)",009,Carrollton Ridge,2018-12-28T05:00:00Z,Southern,0273 009 122818
0273,333 S PULASKI ST,9,"(39.28314234, -76.64952835)",038,Carrollton Ridge,2018-12-28T05:00:00Z,Southern,0273 038 122818
0274,1928 WILHELM ST,9,"(39.28378481, -76.64781135)",086,Carrollton Ridge,2018-10-31T04:00:00Z,Southern,0274 086 103118
0275,316 S FULTON AVE,9,"(39.28390293, -76.64519794)",009,Carrollton Ridge,2018-10-31T04:00:00Z,Southern,0275 009 103118
0275,1820 WILHELM ST,9,"(39.28389014, -76.64576008)",104,Carrollton Ridge,2018-09-10T04:00:00Z,Southern,0275 104 091018
0276,335 S FULTON AVE,9,"(39.28363626, -76.644706)",028,New Southwest/Mount Clare,2018-12-18T05:00:00Z,Southern,0276 028 121818
0276,339 S FULTON AVE,9,"(39.28357043, -76.64470218)",030,New Southwest/Mount Clare,2018-12-16T05:00:00Z,Southern,0276 030 121618
0276,322 S BRUCE ST,9,"(39.28371907, -76.64441642)",090,New Southwest/Mount Clare,2019-01-18T05:00:00Z,Southern,0276 090 011819
0280,1424 RAMSAY ST,9,"(39.28351195, -76.64023956)",039,New Southwest/Mount Clare,2018-11-21T05:00:00Z,Southern,0280 039 112118
0280,341 S STRICKER ST,9,"(39.28363265, -76.64042501)",046,New Southwest/Mount Clare,2018-11-23T05:00:00Z,Southern,0280 046 112318
0280,311 S NORRIS ST,9,"(39.28398285, -76.63982961)",084,New Southwest/Mount Clare,2019-01-06T05:00:00Z,Southern,0280 084 010619
0280,318 S NORRIS ST,9,"(39.28391791, -76.64014988)",100,New Southwest/Mount Clare,2019-01-08T05:00:00Z,Southern,0280 100 010819
0288,426 S SMALLWOOD ST,9,"(39.28231681, -76.65137783)",014,Carrollton Ridge,2018-10-05T04:00:00Z,Southwestern,0288 014 100518
0288,434 S SMALLWOOD ST,9,"(39.28217176, -76.65136948)",018,Carrollton Ridge,2018-09-06T04:00:00Z,Southwestern,0288 018 090618
0288,424 FURROW ST,9,"(39.28235905, -76.6520195)",056,Carrollton Ridge,2019-01-04T05:00:00Z,Southwestern,0288 056 010419
0288,428 FURROW ST,9,"(39.28228912, -76.65201566)",058,Carrollton Ridge,2019-01-06T05:00:00Z,Southwestern,0288 058 010619
0288,2227 RAMSAY ST,9,"(39.28270306, -76.65209938)",101,Carrollton Ridge,2018-10-01T04:00:00Z,Southwestern,0288 101 100118
0289,2125 RAMSAY ST,9,"(39.2827259, -76.65070291)",024,Carrollton Ridge,2018-10-31T04:00:00Z,Southwestern,0289 024 103118
0289,2102 ASHTON ST,9,"(39.28242181, -76.65017721)",047,Carrollton Ridge,2018-09-13T04:00:00Z,Southwestern,0289 047 091318
0290,2003 RAMSAY ST,9,"(39.28286623, -76.64881459)",013,Carrollton Ridge,2019-01-08T05:00:00Z,Southern,0290 013 010819
0293,1613 WESTWOOD AVE,7,"(39.30912918, -76.64374138)",019,Sandtown-Winchester,2018-09-21T04:00:00Z,Western,0293 019 092118
0294,1709 N CAREY ST,7,"(39.30909972, -76.64275576)",053,Penn North,2019-01-22T05:00:00Z,Western,0294 053 012219
0298,537 CUMBERLAND ST,7,"(39.30934675, -76.64122405)",015,Druid Heights,2018-10-08T04:00:00Z,Central,0298 015 100818
0299,506 BAKER ST,7,"(39.3098025, -76.6386321)",068,Druid Heights,2018-12-21T05:00:00Z,Central,0299 068 122118
0300B,1434 PRESSTMAN ST,7,"(39.30564661, -76.64156797)",015,Sandtown-Winchester,2018-12-24T05:00:00Z,Western,0300B015 122418
0300C,1524 N CAREY ST,7,"(39.30685454, -76.64063284)",056,Sandtown-Winchester,2018-09-16T04:00:00Z,Western,0300C056 091618
0300C,1529 N WOODYEAR ST,7,"(39.30678983, -76.64091172)",059,Sandtown-Winchester,2018-12-06T05:00:00Z,Western,0300C059 120618
0303,2224 DRUID HILL AVE,7,"(39.30936294, -76.63802125)",034,Druid Heights,2018-10-28T04:00:00Z,Central,0303 034 102818
0308,2140 DRUID HILL AVE,7,"(39.30883252, -76.63739315)",036,Druid Heights,2018-09-19T04:00:00Z,Central,0308 036 091918
0308,2118 DRUID HILL AVE,7,"(39.30850121, -76.63698017)",047,Druid Heights,2018-10-28T04:00:00Z,Central,0308 047 102818
0309,2122 MCCULLOH ST,7,"(39.30913268, -76.63638757)",013,Druid Heights,2018-12-27T05:00:00Z,Central,0309 013 122718
0310,2121 MCCULLOH ST,7,"(39.30942431, -76.63586431)",017,Druid Heights,2018-10-28T04:00:00Z,Central,0310 017 102818
